¬0¬1¬2¬3¬Rating¬Reviews¬Price¬Ciudad¬Tipo Busqueda¬Zona
0¬Goiko¬4,3(4.896) · €€¬Hamburguesa · C. del Prado, 15¬Abierto ⋅ Cierra a las 23:30¬4,3¬4.896¬ · €€¬Madrid¬Hamburguesa¬Centro
1¬Campesino Burger Al Carbón¬4,5(1.008) · €¬Hamburguesa · C. de Atocha, 111¬Abierto ⋅ Cierra a las 17:00 ⋅ Próxima apertura: 20:00¬4,5¬1.008¬ · €¬Madrid¬Hamburguesa¬Centro
2¬Steakburger¬4,3(3.238) · €€¬Hamburguesa · C. de Atocha, 110¬Hamburguesas, platos para compartir y postres¬4,3¬3.238¬ · €€¬Madrid¬Hamburguesa¬Centro
3¬Hamburguesería Don Oso¬4,5(2.418) · €¬Hamburguesa · C. de la Cruz, 26¬Sala industrial para burgers y perritos¬4,5¬2.418¬ · €¬Madrid¬Hamburguesa¬Centro
4¬Restaurante Viva Burger¬4,5(3.265) · €€¬Vegetariana estricta · Cost.ª de San Andrés, 16¬Hamburguesas y wraps veganos en una plaza¬4,5¬3.265¬ · €€¬Madrid¬Hamburguesa¬Centro
5¬Hamburguesa Nostra¬4,2(500) · €€¬Restaurante · Gourmet Experience El Corte Inglés, Pl. del Callao, 2¬Abierto ⋅ Cierra a las 22:00¬4,2¬500¬ · €€¬Madrid¬Hamburguesa¬Centro
6¬The Eight Burger¬4,4(40)¬Hamburguesa · C. de Alcalá, 10¬Moderno restaurante de hamburguesas y barbacoa¬4,4¬40¬¬Madrid¬Hamburguesa¬Centro
7¬Goiko¬4,2(3.019) · €€¬Hamburguesa · C. del Pez, 36¬Restaurante informal con hamburguesas gourmet¬4,2¬3.019¬ · €€¬Madrid¬Hamburguesa¬Centro
8¬Five Guys¬4,1(8.368) · €€¬Hamburguesa · C/ Gran Vía, 44¬Cadena de hamburgueserías¬4,1¬8.368¬ · €€¬Madrid¬Hamburguesa¬Centro
9¬Carl's Jr¬4,0(4.279) · €¬Hamburguesa · C/ Gran Vía, 45¬Cadena de hamburgueserías¬4,0¬4.279¬ · €¬Madrid¬Hamburguesa¬Centro
10¬Roll Madrid Restaurante¬3,9(1.442) · €€¬Cervecería artesanal · C. de Amaniel, 23¬Cocina estadounidense en un café retro¬3,9¬1.442¬ · €€¬Madrid¬Hamburguesa¬Centro
11¬Prrimital¬4,7(95)¬Barbacoa · Pl. de San Miguel¬Abierto ⋅ Cierra a las 0:00¬4,7¬95¬¬Madrid¬Hamburguesa¬Centro
12¬Naif Madrid Burger&bar¬3,9(1.554) · €€¬Hamburguesa · C. de San Joaquín, 16¬Hamburguesas, sándwiches y arte urbano¬3,9¬1.554¬ · €€¬Madrid¬Hamburguesa¬Centro
13¬Tony Roma's¬4,2(3.829) · €€¬Americana · C/ Gran Vía, 68¬Restaurante de carnes famoso por sus costillas¬4,2¬3.829¬ · €€¬Madrid¬Hamburguesa¬Centro
14¬SteakBurger¬4,4(3.282) · €€¬Americana · C/ Gran Vía, 16¬Platos estadounidenses en un restaurante moderno¬4,4¬3.282¬ · €€¬Madrid¬Hamburguesa¬Centro
