¬nombre¬1¬2¬rating¬reviews¬price¬ciudad¬comida¬zona¬fecha¬hora¬clave
0¬Juancho's BBQ (Chamberí)¬4,5(1.702) · €€¬Hamburguesa · C. de Alonso Cano, 10¬4,5¬1.702¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Juancho's BBQ (Chamberí) Juancho's BBQ (Chamberí) 22-08-2022
1¬Prost Chamberí¬4,5(226) · €¬Hamburguesa · C. de Vallehermoso, 36, local 54¬4,5¬226¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Prost Chamberí Prost Chamberí 22-08-2022
2¬JUNK BURGER¬4,1(1.479)¬Hamburguesa · Calle de José Abascal, 31¬4,1¬1.479¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬JUNK BURGER JUNK BURGER 22-08-2022
3¬Goiko¬4,3(3.411) · €€¬Hamburguesa · Calle de Fernández de la Hoz, 33¬4,3¬3.411¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Goiko Goiko 22-08-2022
4¬DALÙ BURGER¬4,8(419)¬Hamburguesa · Calle de Hartzenbusch, 7¬4,8¬419¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬DALÙ BURGER DALÙ BURGER 22-08-2022
5¬La Esquina de Chamberí¬4,0(539)¬Restaurante · C/ Gral. Álvarez de Castro, 7¬4,0¬539¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Esquina de Chamberí La Esquina de Chamberí 22-08-2022
6¬Frankie Burgers - Las Mejores Hamburguesas de Madrid¬4,7(1.036)¬Hamburguesa · C. de Ponzano, 46¬4,7¬1.036¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Frankie Burgers - Las Mejores Hamburguesas de Madrid Frankie Burgers - Las Mejores Hamburguesas de Madrid 22-08-2022
7¬Clandestino Burger Joint¬4,5(1.833) · €¬Hamburguesa · C. Eloy Gonzalo, 12¬4,5¬1.833¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Clandestino Burger Joint Clandestino Burger Joint 22-08-2022
8¬Hamburguesería Don Oso¬4,5(3.403) · €¬Hamburguesa · C/ de Donoso Cortés, 90¬4,5¬3.403¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Hamburguesería Don Oso Hamburguesería Don Oso 22-08-2022
9¬Steakburger¬4,1(1.577) · €€¬Hamburguesa · Calle de Luchana, 17¬4,1¬1.577¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Steakburger Steakburger 22-08-2022
10¬Burnout¬4,4(1.732) · €€¬Hamburguesa · Calle de Fuencarral, 148¬4,4¬1.732¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Burnout Burnout 22-08-2022
11¬Johnny Rockets¬4,6(1.162)¬Hamburguesa · Calle de Fuencarral, 117¬4,6¬1.162¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Johnny Rockets Johnny Rockets 22-08-2022
12¬Hamburguesería Don Oso¬4,6(1.678) · €¬Hamburguesa · C. de Meléndez Valdés, 55¬4,6¬1.678¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Hamburguesería Don Oso Hamburguesería Don Oso 22-08-2022
13¬Goiko¬4,3(1.310) · €€¬Hamburguesa · C. de Galileo, 50¬4,3¬1.310¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Goiko Goiko 22-08-2022
14¬s10bar¬4,3(510) · €¬Hamburguesa · C. de Guzmán el Bueno, 56¬4,3¬510¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬s10bar s10bar 22-08-2022
15¬De10¬4,4(33)¬Hamburguesa · Calle de Gonzalo de Córdoba, 5¬4,4¬33¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬De10 De10 22-08-2022
16¬Home Burger Bar¬4,5(1.106) · €€¬Americana · Calle de Sta Engracia, 108¬4,5¬1.106¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Home Burger Bar Home Burger Bar 22-08-2022
